,Kurzbeschreibung,Beschreibung,Einheit
tempn5,Lufttemperatur 2m Zahl der Tage mit -5 °C  < Tagesmittel,Zahl der Tage mit -5 °C  < Tagesmittel der Lufttemperatur in 2m Höhe - Tage mit t > -50,
tk0,Lufttemperatur 2m Zahl der Tage mit Tagesmittel < -25 °C,Zahl der Tage mit Tagesmittel der Lufttemperatur in 2m Höhe  < -25 °C - Tage mit t < -250,
tk1,Lufttemperatur 2m Zahl der Tage mit -25 °C <= Tagesmittel < -20 °C,Zahl der Tage mit -25 °C <= Tagesmittel der Lufttemperatur in 2m Höhe < -20 °C - Tage mit -250 <= t < -200,
tk10,Lufttemperatur 2m Zahl der Tage mit 20 °C <= Tagesmittel < 25 °C,Zahl der Tage mit 20 °C <= Tagesmittel der Lufttemperatur in 2m Höhe < 25 °C - Tage mit 200 <= t < 250,
tk2,Lufttemperatur 2m Zahl der Tage mit -20 °C <= Tagesmittel < -15 °C,Zahl der Tage mit -20 °C <= Tagesmittel der Lufttemperatur in 2m Höhe < -15 °C - Tage mit -200 <= t < -150,
tk3,Lufttemperatur 2m Zahl der Tage mit -15 °C <= Tagesmittel < -10 °C,Zahl der Tage mit -15 °C <= Tagesmittel der Lufttemperatur in 2m Höhe < -10 °C - Tage mit -150 <= t < -100,
tk4,Lufttemperatur 2m Zahl der Tage mit -10 °C <= Tagesmittel < -5 °C,Zahl der Tage mit -10 °C <= Tagesmittel der Lufttemperatur in 2m Höhe < -5 °C - Tage mit -100 <= t < -50,
tk5,Lufttemperatur 2m Zahl der Tage mit -5 °C <= Tagesmittel < 0 °C,Zahl der Tage mit -5 °C <= Tagesmittel der Lufttemperatur in 2m Höhe < 0 °C - Tage mit -50 <= t < 0,
tk6,Lufttemperatur 2m Zahl der Tage mit 0 °C <= Tagesmittel <  5 °C,Zahl der Tage mit 0 °C <= Tagesmittel der Lufttemperatur in 2m Höhe <  5 °C - Tage mit 0 <= t < 50,
tk7,Lufttemperatur 2m Zahl der Tage mit 5 °C <= Tagesmittel <  10 °C,Zahl der Tage mit 5 °C <= Tagesmittel der Lufttemperatur in 2m Höhe <  10 °C - Tage mit 50 <= t < 100,
tk8,Lufttemperatur 2m Zahl der Tage mit 10 °C <= Tagesmittel <  15 °C,Zahl der Tage mit 10 °C <= Tagesmittel der Lufttemperatur in 2m Höhe <  15 °C - Tage mit 100 <= t < 150,
tk9,Lufttemperatur 2m Zahl der Tage mit 15 °C <= Tagesmittel < 20 °C,Zahl der Tage mit 15 °C <= Tagesmittel der Lufttemperatur in 2m Höhe < 20 °C - Tage mit 150 <= t < 200,
tmax,Lufttemperatur 2m Monatsmaximum,"Lufttemperatur in 2m Höhe, Monatsmaximum aus Tagesmaxima - größtes absolutes Tagesmaximum",°C
tmaxe10,Erdbodentemperatur -10cm Tag des Monatsmaximums,"Erdbodentemperatur in 10cm Tiefe, Tag des Monatsmaximums der Stundenwerte - Tag des Monatsmaximums",
tmaxe100,Erdbodentemperatur -100cm Tag des Monatsmaximums,"Erdbodentemperatur in 100cm Tiefe, Tag des Monatsmaximums der Stundenwerte - Tag des Monatsmaximums",
tmaxe20,Erdbodentemperatur -20cm Tag des Monatsmaximums,"Erdbodentemperatur in 20cm Tiefe, Tag des Monatsmaximums der Stundenwerte - Tag des Monatsmaximums",
tmaxe200,Erdbodentemperatur -200cm Tag des Monatsmaximums,"Erdbodentemperatur in 200cm Tiefe, Tag des Monatsmaximums der Stundenwerte - Tag des Monatsmaximums",
tmaxe50,Erdbodentemperatur -50cm Tag des Monatsmaximums,"Erdbodentemperatur in 50cm Tiefe, Tag des Monatsmaximums der Stundenwerte - Tag des Monatsmaximums",
tmaxt,Lufttemperatur 2m Tag des Monatsmaximums,"Lufttemperatur in 2m Höhe, Tag des Monatsmaximums - Tag des Monatsmaximums",
