statnr;synnr;name;Bundesland;länge;breite;höhe Klimagarten;Barometerhöhe;datuma;Finanzierung;Ordnung;GPS-Vermessung;länge_dezi;breite_dezi
14308;11124;VALLUGA;Vorarlberg;101246;470927;2806;k.A.;20101201;ZAMG;TAWES ;Ja;10,21277778;47,1575
14311;11307;LANGEN AM ARLBERG;Vorarlberg;100725;470754;1221;1218;20070801;ZAMG;TAWES;Ja;10,12361111;47,13166667
14403;11112;LANDECK;Tirol;103349;470825;796;809;19930701;ZAMG;TAWES;Ja;10,56361111;47,14027778
14513;11115;IMST;Tirol;104433;471413;773;773;20070901;ZAMG;TAWES;Ja;10,7425;47,23694444
14521;11313;PRUTZ (MT);Tirol;103953;470407;872;k.A.;20041201;ZAMG;MINITAKLIS;Ja;10,66472222;47,06861111
14603;11309;HAIMING;Tirol;105324;471531;671;671;20070819;ZAMG;TAWES;Nein;10,89;47,25861111
14622;11317;ST.LEONHARD/PITZTAL;Tirol;105156;470138;1454;1452;20071127;ZAMG;TAWES;Ja;10,86555556;47,02722222
14631;11117;UMHAUSEN;Tirol;105544;470821;1036;1036;20030801;ZAMG;TAWES;Nein;10,92888889;47,13916667
14701;11324;NEUSTIFT/MILDERS;Tirol;111731;470610;1007;1004;20041106;ZAMG;TAWES;Ja;11,29194444;47,10277778
14802;11129;BRENNER;Tirol;113026;470027;1372;1369;20071201;ZAMG;TAWES;Ja;11,50722222;47,0075
14812;11126;PATSCHERKOFEL;Tirol;112744;471232;2247;2252;19930901;ZAMG;TAWES;Nein;11,46222222;47,20888889
14822;11123;RINN;Tirol;113014;471457;924;924;20071201;ZAMG;TAWES;Ja;11,50388889;47,24916667
14825;11326;SCHMIRN (MT);Tirol;113450;470515;1461;k.A.;20041106;ZAMG;MINITAKLIS;Nein;11,58055556;47,0875
14833;11329;STEINACH/TIROL;Tirol;112757;470553;1034;1032;20071201;ZAMG;TAWES;Ja;11,46583333;47,09805556
14912;11250;HINTERTUX (OE3);Tirol;114029;470625;1503;1506;20120801;FREMD;Ö3;Nein;11,67472222;47,10694444
15002;11330;MAYRHOFEN;Tirol;115105;470945;639;639;20070901;ZAMG;TAWES;Nein;11,85138889;47,1625
15005;11319;GERLOS/DURLASSBODEN (MT);Tirol;120444;471415;1347;k.A.;20061001;ZAMG;MINITAKLIS;Ja;12,07888889;47,2375
15105;11136;KRIMML;Salzburg;121055;471345;1009;1011;19970901;ZAMG;TAWES;Ja;12,18194444;47,22916667
15210;11252;VIRGEN;Tirol;122721;470010;1212;1193;19920901;FREMD;TAWES;Ja;12,45583333;47,00277778
15321;11138;RUDOLFSHUETTE;Salzburg;123733;470806;2317;2320;19921201;ZAMG;TAWES;Ja;12,62583333;47,135
15344;11200;KALS;Tirol;123847;470017;1352;1351;20070801;ZAMG;TAWES;Ja;12,64638889;47,00472222
15402;11346;RAURIS;Salzburg;125933;471325;934;942;19921201;ZAMG;TAWES;Ja;12,9925;47,22361111
15411;11343;SONNBLICK (TAWES);Salzburg;125727;470315;3109;3114;19860601;ZAMG;TAWES;Ja;12,9575;47,05416667
15430;11344;KOLM SAIGURN;Salzburg;125905;470410;1626;1622;19951101;ZAMG;TAWES;Ja;12,98472222;47,06944444
15501;11372;BAD GASTEIN;Salzburg;130800;470638;1092;1094;20090901;ZAMG;TAWES;Ja;13,13333333;47,11055556
15509;11179;GROSSARLTAL (OE3);Salzburg;131141;471429;882;k.A.;20110214;FREMD;Ö3;Ja;13,19472222;47,24138889
15610;11149;OBERTAUERN;Salzburg;133335;471456;1772;1745;19941213;ZAMG;TAWES;Ja;13,55972222;47,24888889
15702;11148;ST.MICHAEL/LUNGAU;Salzburg;133722;470540;1052;1052;20080701;ZAMG;TAWES;Ja;13,62277778;47,09444444
15712;11399;TAMSWEG;Salzburg;134827;470801;1026;1024;20080701;ZAMG;TAWES;Ja;13,8075;47,13361111
15715;11349;KATSCHBERG;Kärnten;133653;470337;1635;1637;19981029;ZAMG;TAWES;Ja;13,61472222;47,06027778
15721;11348;MARIAPFARR;Salzburg;134442;470908;1151;1153;19901218;FREMD;TAWES;Nein;13,745;47,15222222
15901;11377;OBERWOELZ;Steiermark;141712;471207;842;834;20070801;ZAMG;TAWES;Ja;14,28666667;47,20194444
15912;11363;STOLZALPE;Steiermark;141118;470723;1291;1289;20070801;ZAMG;TAWES;Ja;14,18833333;47,12305556
15920;11280;MURAU;Steiermark;141037;470641;816;814;19890110;ZAMG;TAWES;Ja;14,17694444;47,11138889
16015;11220;NEUMARKT;Steiermark;142529;470411;869;871;19930801;ZAMG;TAWES;Ja;14,42472222;47,06972222
16101;11365;ZELTWEG;Steiermark;144449;471159;678;679;19920401;ZAMG;TAWES ;Ja;14,74694444;47,19972222
16308;11221;KOEFLACH (OE3);Steiermark;150514;470412;463;k.A.;20041101;FREMD;Ö3 ;Ja;15,08722222;47,07
16400;11240;GRAZ-FLUGHAFEN;Steiermark;152621;465935;340;363;19390201;FREMD;ACG ;Nein;15,43916667;46,99305556
16411;11242;ST.RADEGUND;Steiermark;152923;471056;726;729;19860401;FREMD;TAWES;Ja;15,48972222;47,18222222
16412;11290;GRAZ-UNIVERSITAET;Steiermark;152656;470440;367;379;19880601;ZAMG;TAWES;Nein;15,44888889;47,07777778
16413;11238;GRAZ/STRASSGANG;Steiermark;152437;470246;357;356;20071201;ZAMG;TAWES;Ja;15,41027778;47,04611111
16421;11241;SCHOECKL;Steiermark;152759;471155;1443;1439;19921201;ZAMG;TAWES;Ja;15,46638889;47,19861111
16501;11247;GLEISDORF;Steiermark;154229;470656;377;377;20070601;ZAMG;TAWES;Ja;15,70805556;47,11555556
16511;11292;LASSNITZHOEHE;Steiermark;153540;470425;530;529;19900201;FREMD;TAWES;Ja;15,59444444;47,07361111
16601;11246;FUERSTENFELD;Steiermark;160451;470151;271;267;20070701;ZAMG;TAWES;Ja;16,08083333;47,03083333
16702;11198;GUESSING;Burgenland;161919;470345;215;217;20080701;ZAMG;TAWES / VAMES;Ja;16,32194444;47,0625
